团购名称,旅行内容,已购人数,旅游ID,价格/1人,团购网址,注意事项,目的地景点,去的方式,回来的方式,团购公司,团购发布来源,住宿条件,浏览的总个数
大理 6天5夜 跟团游,高端纯玩丨0自费?2+1陆地头等舱?昆大丽豪华游【5鉆酒店+丽江动车返昆】洱海私人游艇+雪山登顶+喜洲麦浪丨千古情演出+机票,6294,3124631178,3575,https://touch.dujia.qunar.com/p/item/3124631178?date=2023-12-12&amp;tuId=PID3124631178G1288159384&amp;order_source=tts_tuan,建议至少在前2天的16:30分前预订,"丽江,云南,大理,昆明,玉龙雪山,蓝月谷,冰川公园,甘海子,石林,阿诗玛化身石,楚雄,大理古城,洋人街,大理五华楼,洱海游船,双廊,丽江古城,四方街,洱海,丽水金沙,丽江千古情,洱海游船",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚高档型住宿; 4晚豪华型住宿,全程游览22个景点
大理 6天5夜 跟团游,高端纯玩丨0自费?2+1陆地头等舱?昆大丽豪华游【5鉆酒店+丽江动车返昆】洱海私人游艇+雪山登顶+喜洲麦浪丨千古情演出+火车票,6294,3124631178,3510,https://touch.dujia.qunar.com/p/item/3124631178?date=2023-12-09&amp;tuId=PID3124631178T1970651455&amp;order_source=tts_tuan,建议至少在前2天的16:30分前预订,"丽江,云南,大理,昆明,玉龙雪山,蓝月谷,冰川公园,甘海子,石林,阿诗玛化身石,楚雄,大理古城,洋人街,大理五华楼,洱海游船,双廊,丽江古城,四方街,洱海,丽水金沙,丽江千古情,洱海游船",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚高档型住宿; 4晚豪华型住宿,全程游览22个景点
大理 8天7夜 跟团游,纯玩?大理丽江西双版纳8日?喜洲麦田牧歌丨洱海双廊+双旅拍+非洲鼓体验丨海洪湿地+野象谷+原始森林丨星光夜市+火车票,0,1929897558,3714,https://touch.dujia.qunar.com/p/item/1929897558?date=2023-12-09&amp;tuId=PID1929897558T3676987372&amp;order_source=tts_tuan,建议至少在前2天的17:59分前预订,"昆明,丽江,大理,楚雄,洱海,大理古城,洋人街,丽江古城,四方街,束河,傣族村寨,大观楼,甘海子,喜洲,双廊,拉市海湿地公园,西双版纳,野象谷,西双版纳原始森林公园",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,2晚经济型住宿; 5晚舒适型住宿,全程游览22个景点
大理 8天7夜 跟团游,纯玩?大理丽江西双版纳8日?喜洲麦田牧歌丨洱海双廊+双旅拍+非洲鼓体验丨海洪湿地+野象谷+原始森林丨星光夜市+机票,0,1929897558,3722,https://touch.dujia.qunar.com/p/item/1929897558?date=2023-12-19&amp;tuId=PID1929897558G3220230216&amp;order_source=tts_tuan,建议至少在前2天的17:59分前预订,"昆明,丽江,大理,楚雄,洱海,大理古城,洋人街,丽江古城,四方街,束河,傣族村寨,大观楼,甘海子,喜洲,双廊,拉市海湿地公园,西双版纳,野象谷,西双版纳原始森林公园",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,2晚经济型住宿; 5晚舒适型住宿,全程游览22个景点
大理 6天5夜 跟团游,云南小众景点?大理丽江6日【奢住温德姆?全程高档酒店】蝴蝶泉+生态廊道+洱海骑行+雪山蓝月谷丨景美人少?洱源小西湖+机票,0,2499319287,3002,https://touch.dujia.qunar.com/p/item/2499319287?date=2023-12-09&amp;tuId=PID2499319287G1882289190&amp;order_source=tts_tuan,建议至少在前1天的17:59分前预订,"昆明,丽江,大理,楚雄,洱海,大理古城,洋人街,玉龙雪山,白水河,蓝月谷,丽江古城,四方街,束河,石林,阿诗玛化身石,云杉坪,云杉坪原始森林,蝴蝶泉",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚高档型住宿; 1晚豪华型住宿,全程游览17个景点
大理 6天5夜 跟团游,云南小众景点?大理丽江6日【奢住温德姆?全程高档酒店】蝴蝶泉+生态廊道+洱海骑行+雪山蓝月谷丨景美人少?洱源小西湖+火车票,0,2499319287,2989,https://touch.dujia.qunar.com/p/item/2499319287?date=2023-12-09&amp;tuId=PID2499319287T1286232117&amp;order_source=tts_tuan,建议至少在前1天的17:59分前预订,"昆明,丽江,大理,楚雄,洱海,大理古城,洋人街,玉龙雪山,白水河,蓝月谷,丽江古城,四方街,束河,石林,阿诗玛化身石,云杉坪,云杉坪原始森林,蝴蝶泉",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚高档型住宿; 1晚豪华型住宿,全程游览17个景点
大理 6天5夜 跟团游,奢品云南?一价全含丨昆大丽6日·高档酒店+温泉+省内动车丨洱海私人游轮+雪山登顶+千古情+印象丽江丨洱海骑行+下午茶+机票,0,1182276628,2488,https://touch.dujia.qunar.com/p/item/1182276628?date=2023-12-14&amp;tuId=PID1182276628G2631222174&amp;order_source=tts_tuan,建议至少在前1天的12:59分前预订,"丽江,云南,昆明,大理,石林,阿诗玛化身石,大理古城,洋人街,洱海,洱海游船,崇圣寺三塔,玉龙雪山,冰川公园,蓝月谷,白水河,甘海子,雪山峡谷演艺公园,丽江古城,四方街,南诏风情岛,双廊,印象丽江,丽江千古情",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚高档型住宿; 1晚豪华型住宿,全程游览25个景点
大理 8天7夜 跟团游,云南小众纯玩?大理丽江版纳8日【奢住温德姆?全程高档酒店】雪山洱海+洱源小西湖+蝴蝶泉+野象谷丨洱海骑行+观孔雀放飞+火车票,0,2315561492,4089,https://touch.dujia.qunar.com/p/item/2315561492?date=2023-12-09&amp;tuId=PID2315561492T996200315&amp;order_source=tts_tuan,建议至少在前1天的17:59分前预订,"昆明,丽江,大理,楚雄,洱海,大理古城,洋人街,玉龙雪山,白水河,蓝月谷,丽江古城,四方街,束河,石林,阿诗玛化身石,云杉坪,云杉坪原始森林,蝴蝶泉,野象谷,西双版纳原始森林公园,傣族村寨,西双版纳,大理西湖,洱源县",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚舒适型住宿; 5晚高档型住宿; 1晚豪华型住宿,全程游览22个景点
丽江 8天7夜 跟团游,纯玩无限制?昆大丽?西双版纳8日丨玉龙雪山+滇池戏鸥+洱海游船+圣托里尼?生态廊道旅拍丨野象谷+星光夜市+孔雀放飞+火车票,1,3323033549,3587,https://touch.dujia.qunar.com/p/item/3323033549?date=2023-12-09&amp;tuId=PID3323033549T2878639743&amp;order_source=tts_tuan,建议至少在前1天的12:30分前预订,"丽江,云南,大理,昆明,西山龙门,滇池,洱海,洱海游船,大理古城,洋人街,玉龙雪山,蓝月谷,甘海子,白水河,丽江古城,四方街,束河,西双版纳,西双版纳原始森林公园,野象谷,傣族村寨,云杉坪,金梭岛,星光夜市",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,5晚经济型住宿; 1晚舒适型住宿; 1晚高档型住宿,全程游览27个景点
丽江 5天4夜 跟团游,云上印象15人小团?省力环游！丽进丽出?大理丽江丨洱海雪山+束河古镇+洱海金梭岛+九鼎龙潭+圣托里尼丨吉普旅拍?+机票,0,1848908402,3854,https://touch.dujia.qunar.com/p/item/1848908402?date=2023-12-15&amp;tuId=PID1848908402G3006898563&amp;order_source=tts_tuan,建议至少在前1天的17:30分前预订,"丽江,云南,丽江古城,四方街,玉龙雪山,束河,丽江茶马古镇,洱海,洱海游船,双廊,大理古城,洋人街,大理,蓝月谷,白水河,云杉坪,四方街,白水河",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚经济型住宿,全程游览19个景点
大理 6天5夜 跟团游,全程5鉆?昆大丽6日豪华游?双人立减188「全程一店0自费?三大演出」洱海雪山+玻璃钢游艇+三塔丨千古情+印象丽江+机票,0,2852804729,2298,https://touch.dujia.qunar.com/p/item/2852804729?date=2023-12-14&amp;tuId=PID2852804729G1536967392&amp;order_source=tts_tuan,建议至少在前2天的17:30分前预订,"丽江,云南,大理,昆明,大理古城,洋人街,玉龙雪山,冰川公园,甘海子,白水河,蓝月谷,丽江古城,四方街,印象丽江,丽江千古情,洱海,洱海游船,石林,阿诗玛化身石,金梭岛,崇圣寺三塔,玉龙雪山索道",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,5晚豪华型住宿,全程游览21个景点
大理 5天4夜 跟团游,至尊云南??15 人小团！大理丽江?省内双动『全程豪华5鉆?敞篷跑车?古城换装旅拍』龙宫溶洞+雪山登顶+喜洲丨圣托里尼+机票,0,3404910438,4604,https://touch.dujia.qunar.com/p/item/3404910438?date=2023-12-14&amp;tuId=PID3404910438G4277956689&amp;order_source=tts_tuan,建议至少在前3天的23:59分前预订,"丽江,云南,大理,昆明,洱海,洱海游船,玉龙雪山,玉龙雪山索道,蓝月谷,白水河,印象丽江,束河,丽江古城,四方街,喜洲,双廊,金梭岛,大理古城,洋人街",自理去,自理去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚豪华型住宿,全程游览22个景点
大理 6天5夜 跟团游,全程5鉆?昆大丽6日豪华游?双人立减188「全程一店0自费?三大演出」洱海雪山+玻璃钢游艇+三塔丨千古情+印象丽江+火车票,0,2852804729,2214,https://touch.dujia.qunar.com/p/item/2852804729?date=2023-12-09&amp;tuId=PID2852804729T2131767663&amp;order_source=tts_tuan,建议至少在前2天的17:30分前预订,"丽江,云南,大理,昆明,大理古城,洋人街,玉龙雪山,冰川公园,甘海子,白水河,蓝月谷,丽江古城,四方街,印象丽江,丽江千古情,洱海,洱海游船,石林,阿诗玛化身石,金梭岛,崇圣寺三塔,玉龙雪山索道",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,5晚豪华型住宿,全程游览21个景点
丽江 8天7夜 跟团游,精品纯玩?昆明大理丽江香格里拉丨豪华5鉆【喜洲麦浪の丽水金沙】洱海游船+玉龙雪山+虎跳峡+普达措丨土司盛宴丨丽江动车返昆+机票,5214,3548943032,3779,https://touch.dujia.qunar.com/p/item/3548943032?date=2023-12-23&amp;tuId=PID3548943032G2256784967&amp;order_source=tts_tuan,建议至少在前2天的17:59分前预订,"云南,昆明,大理,丽江,大理古城,拉市海湿地公园,束河,丽江古城,洱海,海舌生态公园,喜洲,洋人街,四方街,玉龙雪山,冰川公园,蓝月谷,甘海子,石林,阿诗玛化身石,四方街,洱海游船,洱海,束河,白水河,金梭岛",自理去,自理去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚舒适型住宿; 5晚高档型住宿; 1晚豪华型住宿,全程游览23个景点
丽江 8天7夜 跟团游,精品纯玩?昆明大理丽江泸沽湖8日丨豪华5鉆【喜洲麦浪の丽水金沙?摩梭篝火】石林+洱海游船+玉龙雪山+猪槽船丨丽江动车返昆+火车票,5214,1957233819,3714,https://touch.dujia.qunar.com/p/item/1957233819?date=2023-12-09&amp;tuId=PID1957233819T283363153&amp;order_source=tts_tuan,建议至少在前2天的17:59分前预订,"云南,昆明,大理,丽江,大理古城,拉市海湿地公园,束河,丽江古城,洱海,海舌生态公园,喜洲,洋人街,四方街,玉龙雪山,冰川公园,蓝月谷,甘海子,石林,阿诗玛化身石,四方街,洱海游船,洱海,束河,白水河,金梭岛",自理去,自理去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚经济型住宿; 5晚高档型住宿; 1晚豪华型住宿,全程游览26个景点
丽江 8天7夜 跟团游,精品纯玩?昆明大理丽江泸沽湖8日丨豪华5鉆【喜洲麦浪の丽水金沙?摩梭篝火】石林+洱海游船+玉龙雪山+猪槽船丨丽江动车返昆+机票,5214,1957233819,3781,https://touch.dujia.qunar.com/p/item/1957233819?date=2023-12-16&amp;tuId=PID1957233819G778482711&amp;order_source=tts_tuan,建议至少在前2天的17:59分前预订,"云南,昆明,大理,丽江,大理古城,拉市海湿地公园,束河,丽江古城,洱海,海舌生态公园,喜洲,洋人街,四方街,玉龙雪山,冰川公园,蓝月谷,甘海子,石林,阿诗玛化身石,四方街,洱海游船,洱海,束河,白水河,金梭岛",自理去,自理去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚经济型住宿; 5晚高档型住宿; 1晚豪华型住宿,全程游览26个景点
迪庆 8天7夜 跟团游,奢享?纯玩0自费丨昆大丽梅8日の5鉆海景【梅里雪山+飞来寺观日照金山?松赞林寺+圣托里尼旅拍】洱海下午茶+虎跳峡+滇池+火车票,0,889253487,4889,https://touch.dujia.qunar.com/p/item/889253487?date=2023-12-09&amp;tuId=PID889253487T1552821056&amp;order_source=tts_tuan,建议至少在前2天的17:30分前预订,"玉龙雪山,冰川公园,蓝月谷,洱海游船,洱海,丽江古城,四方街,丽江,云南,大理,昆明,楚雄,石林,阿诗玛化身石,束河,甘海子,大理古城,洋人街,香格里拉市,香格里拉虎跳峡,金梭岛,丽江千古情,印象丽江,飞来寺,迪庆,梅里雪山,金沙江第一湾,噶丹松赞林寺,滇池,滇池观鸟",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚舒适型住宿; 1晚高档型住宿; 5晚豪华型住宿,空
迪庆 8天7夜 跟团游,奢享?纯玩0自费丨昆大丽梅8日の5鉆海景【梅里雪山+飞来寺观日照金山?松赞林寺+圣托里尼旅拍】洱海下午茶+虎跳峡+滇池+机票,0,889253487,4913,https://touch.dujia.qunar.com/p/item/889253487?date=2023-12-09&amp;tuId=PID889253487G1718254115&amp;order_source=tts_tuan,建议至少在前2天的17:30分前预订,"玉龙雪山,冰川公园,蓝月谷,洱海游船,洱海,丽江古城,四方街,丽江,云南,大理,昆明,楚雄,石林,阿诗玛化身石,束河,甘海子,大理古城,洋人街,香格里拉市,香格里拉虎跳峡,金梭岛,丽江千古情,印象丽江,飞来寺,迪庆,梅里雪山,金沙江第一湾,噶丹松赞林寺,滇池,滇池观鸟",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚舒适型住宿; 1晚高档型住宿; 5晚豪华型住宿,空
丽江 8天7夜 跟团游,纯玩无限制?昆大丽香格里拉丨吉普旅拍の户外BBQ丨松赞林寺+洱海雪山+虎跳峡+原始森林+野象谷+蓝月谷+梅里日照金山+火车票,0,2746999440,3489,https://touch.dujia.qunar.com/p/item/2746999440?date=2023-12-09&amp;tuId=PID2746999440T693484932&amp;order_source=tts_tuan,建议至少在前1天的17:30分前预订,"丽江,云南,大理,昆明,西山龙门,滇池,崇圣寺三塔,洱海,洱海游船,大理古城,洋人街,玉龙雪山,冰川公园,蓝月谷,甘海子,白水河,丽江古城,四方街,丽江虎跳峡,独克宗古城,束河,梅里雪山,噶丹松赞林寺",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚经济型住宿; 3晚舒适型住宿,全程游览32个景点
丽江 8天7夜 跟团游,纯玩无限制?昆大丽香格里拉丨吉普旅拍の户外BBQ丨松赞林寺+洱海雪山+虎跳峡+原始森林+野象谷+蓝月谷+梅里日照金山+机票,0,2746999440,3556,https://touch.dujia.qunar.com/p/item/2746999440?date=2023-12-14&amp;tuId=PID2746999440G1533862603&amp;order_source=tts_tuan,建议至少在前1天的17:30分前预订,"丽江,云南,大理,昆明,西山龙门,滇池,崇圣寺三塔,洱海,洱海游船,大理古城,洋人街,玉龙雪山,冰川公园,蓝月谷,甘海子,白水河,丽江古城,四方街,丽江虎跳峡,独克宗古城,束河,梅里雪山,噶丹松赞林寺",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚经济型住宿; 3晚舒适型住宿,全程游览32个景点
大理 5天4夜 跟团游,直飞丽江?云南?大理丽江5日丨纯玩0购物+全程高档酒店丨独立成团?拒绝拼车游丨洱海骑行旅拍+玉龙雪山+大理·圣托里尼+机票,0,4078819969,4293,https://touch.dujia.qunar.com/p/item/4078819969?date=2023-12-16&amp;tuId=PID4078819969G1738549629&amp;order_source=tts_tuan,建议至少在前2天的23:59分前预订,"丽江,云南,大理,双廊,洱海,大理古城,大理古城洱海门,洋人街,玉龙雪山,玉龙雪山索道,云杉坪原始森林,蓝月谷,甘海子,白水河,情人树,丽江古城,四方街",自理去,自理去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚高档型住宿,全程游览12个景点
大理 6天5夜 跟团游,探索云南·人文之旅?纯玩0购物丨昆明大理丽江6日丨崇圣寺三塔+逛东巴秘境+探木家别院+游洱源小西湖+喂海鸥+赠木府风云+火车票,0,3448082708,2219,https://touch.dujia.qunar.com/p/item/3448082708?date=2023-12-09&amp;tuId=PID3448082708T3553321788&amp;order_source=tts_tuan,建议至少在前2天的18:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,丽江古城,昆明",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,5晚舒适型住宿,全程游览20个景点
大理 6天5夜 跟团游,探索云南·人文之旅?纯玩0购物丨昆明大理丽江6日丨崇圣寺三塔+逛东巴秘境+探木家别院+游洱源小西湖+喂海鸥+赠木府风云+机票,0,3448082708,2295,https://touch.dujia.qunar.com/p/item/3448082708?date=2023-12-14&amp;tuId=PID3448082708G3280589765&amp;order_source=tts_tuan,建议至少在前2天的18:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,丽江古城,昆明",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,5晚舒适型住宿,全程游览20个景点
丽江 8天7夜 跟团游,云南小众玩法?传承非遗文化?大理丽江西双版纳丨洱源西湖泛舟?下午茶丨S湾骑行?旅拍丨探秘九乡+玉龙雪山+崇圣寺+野象谷+火车票,0,3592068443,3689,https://touch.dujia.qunar.com/p/item/3592068443?date=2023-12-09&amp;tuId=PID3592068443T2546511808&amp;order_source=tts_tuan,建议至少在前2天的18:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,丽江古城,昆明,西双版纳,四方街,野象谷,西双版纳原始森林公园,傣族村寨,玉龙雪山,蓝月谷,云杉坪,云杉坪原始森林,丽水金沙,九乡风景名胜区,九乡地质公园",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,6晚舒适型住宿; 1晚高档型住宿,全程游览32个景点
丽江 6天5夜 跟团游,云南小众玩法?传承非遗文化?昆明大理丽江6日丨洱源西湖泛舟?下午茶丨S湾骑行?旅拍丨探秘九乡溶洞+玉龙雪山+崇圣寺三塔+火车票,0,2369706782,2789,https://touch.dujia.qunar.com/p/item/2369706782?date=2023-12-09&amp;tuId=PID2369706782T1089155481&amp;order_source=tts_tuan,建议至少在前2天的18:59分前预订,"丽江,云南,大理,洱海,滇池,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,丽江古城,昆明,四方街,九乡风景名胜区,九乡地质公园,玉龙雪山,蓝月谷,云杉坪,云杉坪原始森林,丽水金沙",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,5晚舒适型住宿,全程游览24个景点
丽江 8天7夜 跟团游,云南小众玩法?传承非遗文化?大理丽江西双版纳丨洱源西湖泛舟?下午茶丨S湾骑行?旅拍丨探秘九乡+玉龙雪山+崇圣寺+野象谷+机票,0,3592068443,3697,https://touch.dujia.qunar.com/p/item/3592068443?date=2023-12-19&amp;tuId=PID3592068443G3891956917&amp;order_source=tts_tuan,建议至少在前2天的18:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,丽江古城,昆明,西双版纳,四方街,野象谷,西双版纳原始森林公园,傣族村寨,玉龙雪山,蓝月谷,云杉坪,云杉坪原始森林,丽水金沙,九乡风景名胜区,九乡地质公园",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,6晚舒适型住宿; 1晚高档型住宿,全程游览32个景点
丽江 5天4夜 跟团游,人文康养?云南?大理丽江5日丨纯玩0购物+全程3鉆酒店丨丽水金沙?木家别院丨蝴蝶泉+玉龙雪山+洱源小西湖丨赠送骑行旅拍+机票,0,1037358051,3290,https://touch.dujia.qunar.com/p/item/1037358051?date=2024-01-08&amp;tuId=PID1037358051G1920438602&amp;order_source=tts_tuan,建议至少在前2天的23:59分前预订,"丽江,云南,大理,洱海,大理古城,大理古城洱海门,洋人街,玉龙雪山,玉龙雪山索道,云杉坪原始森林,蓝月谷,甘海子,白水河,丽江古城,四方街,大理西湖,洱源,洱源县,观音峡,蝴蝶泉,蝴蝶泉边,丽水金沙,印象丽江",自理去,自理去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚舒适型住宿,全程游览16个景点
大理 8天7夜 跟团游,探索云南·人文之旅?纯玩0购物丨大理丽江版纳8日丨崇圣寺三塔+东巴秘境+洱源小西湖+喂海鸥+木府风云+野象谷+孔雀放飞+火车票,0,1765838325,3189,https://touch.dujia.qunar.com/p/item/1765838325?date=2023-12-09&amp;tuId=PID1765838325T1511793347&amp;order_source=tts_tuan,建议至少在前2天的18:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,丽江古城,昆明,景洪市,西双版纳,西双版纳原始森林公园,野象谷,傣族村寨,星光夜市",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,6晚舒适型住宿; 1晚高档型住宿,全程游览25个景点
大理 8天7夜 跟团游,探索云南·人文之旅?纯玩0购物丨大理丽江版纳8日丨崇圣寺三塔+东巴秘境+洱源小西湖+喂海鸥+木府风云+野象谷+孔雀放飞+机票,0,1765838325,3256,https://touch.dujia.qunar.com/p/item/1765838325?date=2023-12-14&amp;tuId=PID1765838325G3552329467&amp;order_source=tts_tuan,建议至少在前2天的18:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,丽江古城,昆明,景洪市,西双版纳,西双版纳原始森林公园,野象谷,傣族村寨,星光夜市",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,6晚舒适型住宿; 1晚高档型住宿,全程游览25个景点
大理 8天7夜 跟团游,云南人文之旅·大理丽江西双版纳8日「5鉆温德姆?动车返昆」玉龙雪山+崇圣寺三塔+野象谷+洱海小西湖+5A石林丨星光夜市+火车票,0,92287487,4396,https://touch.dujia.qunar.com/p/item/92287487?date=2023-12-09&amp;tuId=PID92287487T1765501063&amp;order_source=tts_tuan,建议至少在前3天的23:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,石林,阿诗玛化身石,玉龙雪山,玉龙雪山索道,冰川公园,丽江古城,丽水金沙,观音峡,西双版纳,景洪市,西双版纳原始森林公园,傣族村寨,星光夜市,野象谷",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚舒适型住宿; 5晚高档型住宿; 1晚豪华型住宿,全程游览25个景点
大理 8天7夜 跟团游,云南人文之旅·大理丽江西双版纳8日「5鉆温德姆?动车返昆」玉龙雪山+崇圣寺三塔+野象谷+洱海小西湖+5A石林丨星光夜市+机票,0,92287487,4472,https://touch.dujia.qunar.com/p/item/92287487?date=2023-12-14&amp;tuId=PID92287487G2042094566&amp;order_source=tts_tuan,建议至少在前3天的23:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,石林,阿诗玛化身石,玉龙雪山,玉龙雪山索道,冰川公园,丽江古城,丽水金沙,观音峡,西双版纳,景洪市,西双版纳原始森林公园,傣族村寨,星光夜市,野象谷",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,1晚舒适型住宿; 5晚高档型住宿; 1晚豪华型住宿,全程游览25个景点
丽江 6天5夜 跟团游,云南小众玩法?传承非遗文化?昆明大理丽江6日丨洱源西湖泛舟?下午茶丨S湾骑行?旅拍丨探秘九乡溶洞+玉龙雪山+崇圣寺三塔+机票,0,2369706782,2856,https://touch.dujia.qunar.com/p/item/2369706782?date=2023-12-19&amp;tuId=PID2369706782G42212179&amp;order_source=tts_tuan,建议至少在前2天的18:59分前预订,"丽江,云南,大理,洱海,滇池,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,丽江古城,昆明,四方街,九乡风景名胜区,九乡地质公园,玉龙雪山,蓝月谷,云杉坪,云杉坪原始森林,丽水金沙",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,5晚舒适型住宿,全程游览24个景点
大理 6天5夜 跟团游,云南人文之旅·大理丽江6日「5鉆温德姆?动车返昆」探索南诏三塔+木家别院+洱源小西湖丨雪山登顶+5A石林丨丽水金沙演出+火车票,0,1470641836,3487,https://touch.dujia.qunar.com/p/item/1470641836?date=2023-12-09&amp;tuId=PID1470641836T2917759582&amp;order_source=tts_tuan,建议至少在前3天的23:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,石林,阿诗玛化身石,玉龙雪山,玉龙雪山索道,冰川公园,丽江古城,丽水金沙,观音峡",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚高档型住宿; 1晚豪华型住宿,全程游览20个景点
大理 6天5夜 跟团游,云南人文之旅·大理丽江6日「5鉆温德姆?动车返昆」探索南诏三塔+木家别院+洱源小西湖丨雪山登顶+5A石林丨丽水金沙演出+机票,0,1470641836,3571,https://touch.dujia.qunar.com/p/item/1470641836?date=2023-12-17&amp;tuId=PID1470641836G1330254520&amp;order_source=tts_tuan,建议至少在前3天的23:59分前预订,"丽江,云南,大理,洱海,滇池,海埂大坝,西山龙门,大理西湖,雪山峡谷演艺公园,崇圣寺三塔,大理古城,洋人街,石林,阿诗玛化身石,玉龙雪山,玉龙雪山索道,冰川公园,丽江古城,丽水金沙,观音峡",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,4晚高档型住宿; 1晚豪华型住宿,全程游览20个景点
大理 6天5夜 跟团游,青春纯玩专线?当季暴款『海景客栈·1人起订·无限制』9大抖音景点·挑战雪山+吉普旅拍+帐篷营地BBQ丨大理丽江+机票,35,1780208964,3442,https://touch.dujia.qunar.com/p/item/1780208964?date=2023-12-27&amp;tuId=PID1780208964G4238011413&amp;order_source=tts_tuan,建议至少在前2天的17:30分前预订,"丽江,云南,大理,昆明,楚雄,石林,阿诗玛化身石,滇池,西山龙门,洱海,崇圣寺三塔,大理古城,洋人街,玉龙雪山,蓝月谷,甘海子,白水河,冰川公园,丽江古城,四方街,束河,拉市海湿地公园",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,3晚经济型住宿; 2晚舒适型住宿,全程游览21个景点
大理 6天5夜 跟团游,云南昆明+大理+丽江6日5晚丨0自费【国五温德姆+错峰特惠儿童免单+赠西双版纳/香格里拉】雪山登顶+吉普旅拍+洱海游船+机票,3,356289496,2922,https://touch.dujia.qunar.com/p/item/356289496?date=2023-12-09&amp;tuId=PID356289496G1594719003&amp;order_source=tts_tuan,建议至少在前2天的17:59分前预订,"丽江,云南,昆明,大理,石林,阿诗玛化身石,大理古城,洋人街,洱海,洱海游船,玉龙雪山,冰川公园,蓝月谷,白水河,甘海子,丽江古城,四方街,丽水金沙,楚雄,楚雄市,洋人街,印象丽江,大理五华楼,印象丽江,冰川公园",汽车去,汽车去,西双版纳云景旅行社有限公司,说走就走国际旅行网,2晚高档型住宿; 3晚豪华型住宿,空
